,ds,location,Area_Marla,bedrooms,bathrooms,yhat
262,2022-10-30,"D-12, Islamabad",4.4,4,4,30540040.371864583
263,2022-10-31,"D-12, Islamabad",4.4,4,4,34594690.935692854
264,2022-11-01,"D-12, Islamabad",4.4,4,4,37815558.297928706
265,2022-11-02,"D-12, Islamabad",4.4,4,4,30587531.754357353
266,2022-11-03,"D-12, Islamabad",4.4,4,4,35808281.90261188
267,2022-11-04,"D-12, Islamabad",4.4,4,4,32121174.939590007
268,2022-11-05,"D-12, Islamabad",4.4,4,4,30635023.316044856
269,2022-11-06,"D-12, Islamabad",4.4,4,4,30650853.88527153
270,2022-11-07,"D-12, Islamabad",4.4,4,4,34705504.44909257
271,2022-11-08,"D-12, Islamabad",4.4,4,4,37926371.8113356
272,2022-11-09,"D-12, Islamabad",4.4,4,4,30698345.267771907
273,2022-11-10,"D-12, Islamabad",4.4,4,4,35919095.416028425
274,2022-11-11,"D-12, Islamabad",4.4,4,4,32231988.452995546
275,2022-11-12,"D-12, Islamabad",4.4,4,4,30745836.82946813
276,2022-11-13,"D-12, Islamabad",4.4,4,4,30761667.39867848
277,2022-11-14,"D-12, Islamabad",4.4,4,4,34816317.96250849
278,2022-11-15,"D-12, Islamabad",4.4,4,4,38037185.32475154
279,2022-11-16,"D-12, Islamabad",4.4,4,4,30809158.78118647
280,2022-11-17,"D-12, Islamabad",4.4,4,4,36029908.929449916
281,2022-11-18,"D-12, Islamabad",4.4,4,4,32342801.96643448
282,2022-11-19,"D-12, Islamabad",4.4,4,4,30856650.342893727
283,2022-11-20,"D-12, Islamabad",4.4,4,4,30872480.912117906
284,2022-11-21,"D-12, Islamabad",4.4,4,4,34927131.475924425
285,2022-11-22,"D-12, Islamabad",4.4,4,4,38147998.83816749
286,2022-11-23,"D-12, Islamabad",4.4,4,4,30919972.294607103
287,2022-11-24,"D-12, Islamabad",4.4,4,4,36140722.44287141
288,2022-11-25,"D-12, Islamabad",4.4,4,4,32453615.47984002
289,2022-11-26,"D-12, Islamabad",4.4,4,4,30967463.8563041
290,2022-11-27,"D-12, Islamabad",4.4,4,4,30983294.425524853
291,2022-11-28,"D-12, Islamabad",4.4,4,4,35037944.989338174
292,2022-11-29,"D-12, Islamabad",4.4,4,4,38258812.35158344
293,2022-11-30,"D-12, Islamabad",4.4,4,4,31030785.80802395
294,2022-12-01,"D-12, Islamabad",4.4,4,4,36251535.956283
295,2022-12-02,"D-12, Islamabad",4.4,4,4,32564428.993256748
296,2022-12-03,"D-12, Islamabad",4.4,4,4,31078277.369714476
297,2022-12-04,"D-12, Islamabad",4.4,4,4,31094107.938929822
298,2022-12-05,"D-12, Islamabad",4.4,4,4,35148758.50274007
299,2022-12-06,"D-12, Islamabad",4.4,4,4,38369625.86499033
300,2022-12-07,"D-12, Islamabad",4.4,4,4,31141599.321436223
301,2022-12-08,"D-12, Islamabad",4.4,4,4,36362349.469704494
302,2022-12-09,"D-12, Islamabad",4.4,4,4,32675242.50668449
303,2022-12-10,"D-12, Islamabad",4.4,4,4,31189090.88312485
304,2022-12-11,"D-12, Islamabad",4.4,4,4,31204921.452353008
305,2022-12-12,"D-12, Islamabad",4.4,4,4,35259572.01617004
306,2022-12-13,"D-12, Islamabad",4.4,4,4,38480439.37840627
307,2022-12-14,"D-12, Islamabad",4.4,4,4,31252412.834853068
308,2022-12-15,"D-12, Islamabad",4.4,4,4,36473162.98311284
309,2022-12-16,"D-12, Islamabad",4.4,4,4,32786056.02010122
310,2022-12-17,"D-12, Islamabad",4.4,4,4,31299904.396550447
311,2022-12-18,"D-12, Islamabad",4.4,4,4,31315734.965776194
312,2022-12-19,"D-12, Islamabad",4.4,4,4,35370385.52960001
313,2022-12-20,"D-12, Islamabad",4.4,4,4,38591252.89183488
314,2022-12-21,"D-12, Islamabad",4.4,4,4,31363226.348267626
315,2022-12-22,"D-12, Islamabad",4.4,4,4,36583976.496529385
316,2022-12-23,"D-12, Islamabad",4.4,4,4,32896869.533506766
317,2022-12-24,"D-12, Islamabad",4.4,4,4,31410717.9099456
318,2022-12-25,"D-12, Islamabad",4.4,4,4,31426548.479183145
319,2022-12-26,"D-12, Islamabad",4.4,4,4,35481199.043001905
320,2022-12-27,"D-12, Islamabad",4.4,4,4,38702066.405250825
321,2022-12-28,"D-12, Islamabad",4.4,4,4,31474039.861682188
322,2022-12-29,"D-12, Islamabad",4.4,4,4,36694790.00994593
